Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2018-07-08 16:19:30.549082,7597.69231478,0,7433.58975033,0,5530.00000271,0,1493.20512237,0,803.97435168,0,3987.56410201,0,2346.53845751,0,1132.17948058,0,1821.41025127,0,7039.74359565,0,6941.28205698,0,5431.79487430,0,5926.79487534,0,180.38460677,0,0,0,?
2018-07-08 16:19:30.549082,869.61537746,0,213.20511966,0,7696.15385345,0,869.61537746,0,1263.46153214,0,2641.92307352,0,1722.94871260,0,607.05127434,0,1887.05127705,0,7400.76923744,0,213.20511966,0,6285.12820944,0,7469.35898117,0,410.12819700,0,0,0,?
2018-07-08 16:19:30.568537,508.58973567,0,7367.94872455,0,7827.43590501,0,344.48717122,0,344.48717122,0,1624.48717393,0,1493.20512237,0,2083.97435439,0,1887.05127705,0,738.33332590,0,2248.07691884,0,5989.74359343,0,478.71794073,0,7893.07693079,0,0,0,?
2018-07-08 16:19:30.592473,7827.43590501,0,6711.53846675,0,5398.71795115,0,1394.74358370,0,1657.30768682,0,3724.99999889,0,3035.76922820,0,1132.17948058,0,2051.15384150,0,5792.56410583,0,6711.53846675,0,5858.46154187,0,6419.10256869,0,7532.05128900,0,0,0,?
2018-07-08 16:19:30.606436,7827.43590501,0,6711.53846675,0,5398.71795115,0,1394.74358370,0,1657.30768682,0,3724.99999889,0,3035.76922820,0,1132.17948058,0,2051.15384150,0,5792.56410583,0,6711.53846675,0,5858.46154187,0,6419.10256869,0,7532.05128900,0,0,0,?
2018-07-08 16:19:30.606436,7827.43590501,0,6711.53846675,0,5398.71795115,0,1394.74358370,0,1657.30768682,0,3724.99999889,0,3035.76922820,0,1132.17948058,0,2051.15384150,0,5792.56410583,0,6711.53846675,0,5858.46154187,0,6419.10256869,0,7532.05128900,0,0,0,?
2018-07-08 16:19:30.622392,1066.53845480,0,1329.10255792,0,81.92306810,0,1132.17948058,0,607.05127434,0,1197.82050636,0,1296.28204503,0,1624.48717393,0,2904.48717664,0,1164.99999347,0,2806.02563797,0,6449.23077389,0,708.46153096,0,180.38460677,0,0,0,?
2018-07-08 16:19:30.638350,2116.79486728,0,2116.79486728,0,2904.48717664,0,8122.82052102,0,49.10255521,0,5070.51282225,0,607.05127434,0,1854.23076416,0,2641.92307352,0,5201.92307894,0,7335.25641679,0,7630.76923793,0,5434.61538712,0,1624.48717393,0,0,0,?
2018-07-08 16:19:30.662286,1657.30768682,0,2904.48717664,0,3199.87179265,0,1033.71794191,0,8188.46154680,0,5234.61538670,0,7925.89744368,0,2477.82050907,0,2609.10256063,0,4020.38461490,0,4742.43589848,0,6974.35898013,0,1791.53845633,0,1919.87178994,0,0,0,?
2018-07-08 16:19:30.663284,869.61537746,0,1460.38460948,0,574.23076145,0,771.15383879,0,147.56409388,0,7958.71795657,0,1066.53845480,0,1788.58973838,0,1854.23076416,0,2182.43589306,0,2707.56409930,0,6646.15385123,0,1102.30768564,0,213.20511966,0,0,0,?
2018-07-08 16:19:30.679240,2707.56409930,0,2871.66666375,0,3101.41025398,0,639.87178723,0,6908.46154409,0,5759.74359294,0,8319.74359836,0,2051.15384150,0,3265.51281843,0,6022.43590119,0,6875.76923633,0,7696.41026371,0,4220.25641019,0,2346.53845751,0,0,0,?
2018-07-08 16:19:30.679240,2707.56409930,0,2871.66666375,0,3101.41025398,0,639.87178723,0,6908.46154409,0,5759.74359294,0,8319.74359836,0,2051.15384150,0,3265.51281843,0,6022.43590119,0,6875.76923633,0,7696.41026371,0,4220.25641019,0,2346.53845751,0,0,0,?
